id,depId,orgId,legislature,typeOrgane,dateDebut,datePublication,dateFin,codeQualite,libQualite,libQualiteSex,suppleants
PM802258,PA794038,PO273589,16,OFFPAR,2022-07-13,2022-07-13,,Membre,Membre,Membre,
PM804143,PA794038,PO804107,16,MISINFO,2022-08-02,2022-09-15,,Membre,Membre,Membre,
PM801105,PA794038,PO800508,16,GP,2022-06-29,2022-06-29,,Membre,Membre du,Membre du,
PM801288,PA794038,PO420120,16,COMPER,2022-06-30,2022-06-30,,Membre,Membre,Membre,
PM796669,PA794038,PO793087,16,GP,2022-06-22,,2022-06-28,Député non-inscrit,Député non-inscrit,Député non-inscrit,
PM796668,PA794038,PO791932,16,ASSEMBLEE,2022-06-19,,,membre,membre,membre,"{'suppleant': {'dateDebut': '2022-06-19', 'dateFin': None, 'suppleantRef': 'PA794042'}}"
PM804460,PA793342,PO804431,16,DELEG,2022-09-23,2022-09-23,,Membre,Membre,Membre,
PM801100,PA793342,PO800508,16,GP,2022-06-29,2022-06-29,,Membre,Membre du,Membre du,
PM801163,PA793342,PO59046,16,COMPER,2022-06-30,2022-06-30,,Membre,Membre,Membre,
PM796270,PA793342,PO793087,16,GP,2022-06-22,,2022-06-28,Député non-inscrit,Député non-inscrit,Députée non-inscrite,
PM796269,PA793342,PO791932,16,ASSEMBLEE,2022-06-19,,,membre,membre,membre,"{'suppleant': {'dateDebut': '2022-06-19', 'dateFin': None, 'suppleantRef': 'PA224456'}}"
PM802284,PA774954,PO415287,16,COMNL,2022-07-13,2022-07-13,,Membre,Membre,Membre,
PM801996,PA774954,PO415287,16,COMNL,2022-07-06,2022-07-06,2022-07-06,Membre,Membre,Membre,
PM804462,PA774954,PO804431,16,DELEG,2022-09-23,2022-09-23,,Membre,Membre,Membre,
PM780360,PA774954,PO710396,,PARPOL,2020-12-01,,2022-06-21,Membre,Membre,Membre,
PM787247,PA774954,PO786857,15,CNPS,2021-11-09,2021-11-11,2022-02-14,Membre,Membre,Membre,
PM779197,PA774954,PO779099,15,CNPS,2020-12-13,2020-12-13,2021-08-24,Membre,Membre,Membre,
PM775997,PA774954,PO733217,15,GEVI,2020-10-13,,2022-06-21,Membre,Membre,Membre,
PM787593,PA774954,PO787587,15,MISINFO,2021-10-27,,2022-06-08,Membre,Membre,Membre,
PM775013,PA774954,PO730934,15,GP,2020-09-29,2020-09-29,2022-06-21,Membre,Membre du,Membre du,
PM801084,PA774954,PO800508,16,GP,2022-06-29,2022-06-29,,Membre,Membre du,Membre du,
PM803222,PA774954,PO419610,16,COMPER,2022-08-04,2022-08-04,,Membre,Membre,Membre,
PM775094,PA774954,PO419610,15,COMPER,2020-10-01,2020-10-01,2021-09-21,Membre,Membre,Membre,
PM786192,PA774954,PO419610,15,COMPER,2021-10-08,2021-10-08,2022-06-21,Membre,Membre,Membre,
PM785790,PA774954,PO419604,15,COMPER,2021-09-22,2021-09-22,2021-10-07,Membre,Membre,Membre,
PM803071,PA774954,PO59047,16,COMPER,2022-08-03,2022-08-03,2022-08-03,Membre,Membre,Membre,
PM801459,PA774954,PO419610,16,COMPER,2022-06-30,2022-06-30,2022-08-02,Membre,Membre,Membre,
PM803227,PA774954,PO419610,16,COMPER,2022-08-04,2022-08-04,,Secrétaire,Secrétaire,Secrétaire,
PM787596,PA774954,PO787587,15,MISINFO,2021-10-27,,2022-06-08,Président,Président,Présidente,
PM789038,PA774954,PO788753,15,CMP,2022-01-19,2022-01-20,2022-02-08,Titulaire,Membre titulaire,Membre titulaire,
PM784436,PA774954,PO717436,15,ORGEXTPARL,2021-01-12,2021-01-13,2022-06-21,Titulaire,Membre titulaire,Membre titulaire,
PM776112,PA774954,PO746679,15,GE,2020-10-15,,2022-06-21,Membre,Membre,Membre,
PM776188,PA774954,PO746669,15,GE,2020-10-21,,2022-06-21,Membre,Membre,Membre,
PM776980,PA774954,PO746880,15,GE,2020-10-22,,2022-06-21,Membre,Membre,Membre,
PM778767,PA774954,PO746811,15,GE,2020-11-27,,2022-06-21,Membre,Membre,Membre,
PM775965,PA774954,PO747266,15,GE,2020-10-12,,2022-06-21,Membre,Membre,Membre,
PM775975,PA774954,PO747220,15,GE,2020-10-13,,2022-06-21,Membre,Membre,Membre,
PM775960,PA774954,PO746674,15,GE,2020-10-12,,2022-06-21,Membre,Membre,Membre,
PM774977,PA774954,PO723569,15,GP,2020-09-28,,2020-09-28,Député non-inscrit,Député non-inscrit,Députée non-inscrite,
PM796798,PA774954,PO793087,16,GP,2022-06-22,,2022-06-28,Député non-inscrit,Député non-inscrit,Députée non-inscrite,
PM775990,PA774954,PO733127,15,GA,2020-10-13,,2022-06-21,Membre,Membre,Membre,
PM775992,PA774954,PO733497,15,GA,2020-10-13,,2022-06-21,Membre,Membre,Membre,
PM775994,PA774954,PO733577,15,GA,2020-10-13,,2022-06-21,Membre,Membre,Membre,
PM775996,PA774954,PO733627,15,GA,2020-10-13,,2022-06-21,Membre,Membre,Membre,
PM775991,PA774954,PO733262,15,GA,2020-10-13,,2022-06-21,Membre,Membre,Membre,
PM775993,PA774954,PO733567,15,GA,2020-10-13,,2022-06-21,Membre,Membre,Membre,
PM775995,PA774954,PO733607,15,GA,2020-10-13,,2022-06-21,Membre,Membre,Membre,
PM801763,PA774954,PO419610,16,COMPER,2022-06-30,2022-07-01,2022-08-02,Secrétaire,Secrétaire,Secrétaire,
PM796797,PA774954,PO791932,16,ASSEMBLEE,2022-06-19,,,membre,membre,membre,"{'suppleant': {'dateDebut': '2022-06-19', 'dateFin': None, 'suppleantRef': 'PA794246'}}"
PM774972,PA774954,PO717460,15,ASSEMBLEE,2020-09-20,,2022-06-21,membre,membre,membre,"{'suppleant': {'dateDebut': '2020-09-20', 'dateFin': '2022-06-21', 'suppleantRef': 'PA2792'}}"
PM771952,PA719072,PO725343,15,CONFPT,2020-05-27,,2022-06-21,Membre,Membre,Membre,
PM802111,PA719072,PO201269,16,DELEG,2022-07-13,2022-07-13,,Membre,Membre,Membre,
PM762953,PA719072,PO201269,15,DELEG,2019-03-01,2019-03-01,2022-06-21,Membre,Membre,Membre,
PM757243,PA719072,PO757118,15,MISINFOPRE,2018-06-26,2018-06-27,2019-01-15,Membre,Membre,Membre,
PM745241,PA719072,PO744854,,PARPOL,2017-12-01,,2018-11-30,Membre,Membre,Membre,
PM761681,PA719072,PO761294,,PARPOL,2018-12-01,,2022-06-21,Membre,Membre,Membre,
