id,civ,prenom,nom,trigramme,dateNais,villeNais,paysNais
PA794038,M.,Yannick,Neuder,YNE,1969-03-15,Tullins,France
PA793342,Mme,Alexandra,Martin,AMT,1968-10-25,Nice,France
PA774954,Mme,Anne-Laure,Blin,ABI,1983-06-12,Toul,France
PA719072,M.,Thomas,Mesnier,TME,1986-03-04,Barbezieux Saint Hilaire,France
PA719822,Mme,Sabine,Thillaye,STH,1959-05-18,Remscheid,Allemagne
PA793616,M.,Kévin,Mauvieux,KMA,1991-09-09,Pont-Audemer,France
PA793246,M.,Frédéric,Falcon,FFA,1985-11-23,Besançon,France
PA712014,M.,Vincent,Ledoux,VLE,1966-06-21,Watermael Boitsfort,Belgique
PA267336,M.,Joël,Giraud,JGU,1959-10-14,Gap,France
PA795900,Mme,Marine,Hamelet,MHA,1967-07-13,Savigny sur Orge,France
PA267766,M.,Guy,Bricout,GBR,1944-02-18,Caudry,France
PA719930,M.,Boris,Vallaud,BVA,1975-07-25,Beyrouth,Liban
PA795516,M.,Maxime,Laisney,MLA,1981-01-19,Lisieux,France
PA793354,Mme,Joëlle,Mélin,JME,1950-03-26,Versailles,France
PA794686,Mme,Marianne,Maximi,MMX,1985-11-13,Louviers,France
PA720630,M.,Maxime,Minot,MMN,1987-07-20,Clermont de l'Oise,France
PA331835,Mme,Monique,Iborra,MIB,1945-03-08,Maison Carrée,Algérie
PA795644,Mme,Nathalie,Da Conceicao Carvalho,NDA,1966-03-31,Blois,France
PA721426,Mme,Véronique,Riotton,VRI,1969-11-02,Bonneville,France
PA266788,M.,Pierre,Morel-À-L'Huissier,PML,1958-12-21,Strasbourg,France
PA793102,M.,Christian,Girard,CGI,1952-05-07,Manosque,France
PA794278,M.,Xavier,Albertini,XAL,1970-01-28,Royan,France
PA795310,Mme,Clémence,Guetté,CGU,1991-03-15,Bressuire,France
PA722070,M.,Pierre,Henriet,PHN,1991-11-26,Fontenay le Comte,France
PA721522,M.,Xavier,Batut,XBA,1976-12-26,Creteil,France
PA795982,M.,Aurélien,Saintoul,ASI,1988-05-26,Drancy,France
PA795828,M.,Johnny,Hajjar,JHA,1973-01-17,Schoelcher,France
PA722162,M.,Nicolas,Turquois,NTU,1972-07-26,Tours,France
PA794106,Mme,Andrée,Taurinya,ATU,1963-06-03,Toulouse,France
PA605036,M.,Damien,Abad,DAB,1980-04-05,Nîmes,France
PA795652,M.,Alexis,Izard,AIZ,1992-06-15,Sèvres,France
PA795330,Mme,Eléonore,Caroit,ECA,1985-07-08,Paris,France
PA721410,Mme,Émilie,Bonnivard,EBN,1980-08-02,Chambéry,France
PA793964,M.,Grégoire,de Fournas,GFO,1985-03-19,Lesparre-Médoc,France
PA793572,M.,Christophe,Plassard,CPL,1967-11-19,La Garenne-Colombes,France
PA793122,M.,Romain,Daubié,RDA,1980-05-05,Villeurbanne,France
PA795672,M.,Arnaud,Le Gall,AGA,1980-11-29,Carhaix-Plouguer,France
PA720190,M.,Bertrand,Sorre,BSO,1965-05-08,Cherbourg,France
PA722142,M.,François,Ruffin,FRU,1975-10-18,Calais,France
PA609520,Mme,Barbara,Pompili,BPM,1975-06-13,Bois-Bernard,France
PA720256,Mme,Géraldine,Bannier,GBA,1979-11-22,Laval,France
PA774958,M.,Gérard,Leseul,GLE,1960-08-15,Le Mesnil Esnard,France
PA793876,Mme,Laurence,Cristol,LCS,1967-11-08,Montpellier,France
PA722284,M.,Bruno,Fuchs,BFU,1959-04-07,Colmar,France
PA795808,Mme,Sabrina,Sebaihi,SSE,1981-05-10,Ivry-sur-Seine,France
PA795664,M.,Paul,Midy,PMI,1983-01-25,Fontainebleau,France
PA721328,Mme,Anne,Brugnera,ABR,1970-11-28,Versailles,France
PA330357,M.,Olivier,Dussopt,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",1978-08-16,Annonay,France
PA794130,M.,Andy,Kerbrat,AKE,1990-10-01,Toulouse,France
PA795058,M.,Julien,Bayou,JBL,1980-06-11,Paris,France
PA793476,M.,Francis,Dubois,FDU,1961-11-28,Liginiac,France
PA722292,M.,Thomas,Rudigoz,TRU,1971-01-11,Lyon,France
PA793860,M.,Frédéric,Zgainski,FZG,1972-10-30,Lyon 9,France
PA722046,Mme,Aurore,Bergé,ABE,1986-11-13,Paris,France
PA794022,M.,Jérémie,Iordanoff,JIO,1983-02-02,Laxou,France
PA793708,M.,Sébastien,Peytavie,SPY,1982-04-17,Sarlat,France
PA795326,M.,Christopher,Weissberg,CWE,1985-11-26,Neuilly sur Seine,France
PA793134,M.,Jérôme,Buisson,JBI,1973-01-15,Roanne,France
PA718784,M.,Éric,Pauget,EPA,1970-08-18,Antibes,France
PA720846,M.,Bastien,Lachaud,BLA,1980-08-05,Vitry sur Seine,France
PA719382,M.,Luc,Lamirault,LLA,1962-05-12,Chartres,France
PA795998,Mme,Emeline,K/Bidi,EKB,1987-05-13,Saint-Denis,France
PA718710,Mme,Pascale,Boyer,PBY,1965-09-28,Saint Mandé,France
PA774962,Mme,Karine,Lebon,KLE,1985-06-09,Le Port La Réunion,France
PA607553,M.,Dominique,Potier,DPO,1964-03-17,Toul,France
PA793374,M.,Romain,Baubry,RBA,1989-01-28,Mont Saint Aignan,France
PA793724,M.,Michel,Sala,MSA,1954-05-13,Oran,Algérie
PA720684,M.,Pierre-Henri,Dumont,PDU,1987-10-07,Grande Synthe,France
PA793548,Mme,Caroline,Colombier,CCO,1957-08-22,Autun,France
PA719910,M.,Mounir,Belhamiti,MBH,1985-03-08,Nantes,France
PA344201,M.,Bertrand,Petit,BEP,1964-08-28,Saint Omer,France
PA795920,Mme,Prisca,Thevenot,PTH,1985-03-01,Strasbourg,France
PA794798,Mme,Françoise,Buffet,FBF,1953-12-11,Strasbourg,France
PA793362,M.,José,Gonzalez,JGO,1943-04-28,Oran,Algérie
PA719286,M.,Paul-André,Colombani,PCO,1967-08-17,Bastia,France
PA720692,M.,Fabien,Roussel,FRO,1969-04-16,Bethune,France
PA793948,M.,Nicolas,Thierry,NTH,1975-12-08,Creon,France
PA720446,Mme,Brigitte,Liso,BLI,1959-07-29,Lille,France
PA793270,M.,Jean-François,Rousset,JRO,1952-09-09,Aurillac,France
PA643089,M.,Jean-Louis,Thiériot,JLH,1969-06-26,Paris 14ème,France
PA719052,M.,Loïc,Kervran,LKE,1984-02-11,Moulins,France
PA719814,Mme,Fabienne,Colboc,FCL,1971-08-09,Thiais,France
PA793508,M.,Hubert,Brigand,HBI,1952-07-28,Chatillon-sur-Seine,France
PA793158,M.,José,Beaurain,JBE,1971-07-27,Chauny,France
PA794222,Mme,Annick,Cousin,ACU,1973-08-07,Agen,France
PA718838,M.,Fabrice,Brun,FBR,1968-04-02,Avignon,France
PA642764,M.,Joël,Aviragnet,JAV,1956-06-16,Encausse-les-Thermes,France
PA643175,Mme,Stella,Dupont,SDU,1973-11-03,Angers,France
PA794330,M.,Anthony,Brosse,ABO,1980-11-04,Saint-Calais,France
PA720386,M.,Fabien,Di Filippo,FDI,1986-08-23,Sarrebourg,France
PA610002,Mme,Eva,Sas,ESA,1970-08-13,Nice,France
PA266793,M.,Jean-Yves,Bony,JBY,1955-03-11,Aurillac,France
PA795258,M.,Frantz,Gumbs,FGU,1954-01-21,Saint-Martin,France
PA795864,M.,Pierre,Cazeneuve,PCA,1995-03-11,Saint-Cloud,France
PA721094,M.,Philippe,Dunoyer,PDN,1968-01-11,Nouméa,France
PA793230,Mme,Angélique,Ranc,ARA,1988-03-16,Troyes,France
PA643134,Mme,Isabelle,Valentin,IVA,1962-01-20,Le Puy en Velay,France
PA794234,M.,François,Gernigon,FGE,1961-04-02,Angers,France
PA719550,Mme,Liliana,Tanguy,LTA,1967-03-12,Pancevo,Serbie
PA719100,M.,Jean-Philippe,Ardouin,JAR,1964-03-05,Saintes,France
PA793772,M.,Christophe,Bex,CBE,1961-11-14,Neufchateau,France
PA793322,Mme,Christelle,D'Intorni,CIN,1985-05-02,Nice,France
PA342415,Mme,Marie-Noëlle,Battistel,MNB,1956-08-20,Grenoble,France
PA794058,Mme,Justine,Gruet,JGE,1989-10-23,Besançon,France
PA695100,M.,Meyer,Habib,MHB,1961-04-28,Paris 12,France
PA722102,Mme,Annie,Vidal,AVD,1956-09-17,La Bohalle,France
PA794166,M.,Matthias,Tavel,MTV,1987-07-06,Villeurbanne,France
PA718910,Mme,Claire,Pitollat,CPT,1979-09-17,Marseille,France
PA793532,Mme,Murielle,Lepvraud,MLV,1974-07-15,Loudeac,France
PA720754,M.,Bruno,Studer,BST,1978-06-18,Colmar,France
PA774109,M.,Clément,Beaune,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",1981-08-14,Paris,France
PA793174,M.,Yannick,Monnet,YMO,1975-10-07,Moulins,France
PA720892,Mme,Mathilde,Panot,MPA,1989-01-15,Tours,France
PA794598,M.,Laurent,Jacobelli,LJA,1969-10-13,Thiais,France
PA796090,M.,Aymeric,Caron,ACA,1971-12-04,Boulogne-sur-Mer,France
PA642695,M.,Éric,Bothorel,EBO,1966-10-20,Paimpol,France
PA793912,M.,Sylvain,Carrière,SCA,1991-05-21,Beziers,France
PA721466,M.,Gilles,Le Gendre,GGE,1958-05-13,Neuilly-sur-Seine,France
PA718926,M.,Pierre,Dharréville,PDH,1975-06-15,Nanterre,France
PA722134,M.,Jean-Marie,Fiévet,JFI,1964-06-19,Bressuire,France
PA605963,M.,Éric,Alauzet,EAL,1958-06-07,Nancy,France
PA795604,Mme,Estelle,Folest,EFO,1976-06-17,Vitry sur Seine,France
PA345722,Mme,Constance,Le Grip,CLG,1960-11-14,Chatou,France
PA722358,M.,Thomas,Gassilloud,TGA,1981-05-21,Saint Symphorien Sur Coise,France
PA795192,M.,Steve,Chailloux,SCH,1985-11-04,Papeete,France
PA793416,M.,Freddy,Sertin,FSE,1980-02-07,Saint-Lô,France
PA794146,Mme,Julie,Laernoes,JLR,1982-07-03,Delft,Pays-Bas
PA719272,Mme,Frédérique,Meunier,FME,1960-12-08,Paris,France
PA718930,Mme,Anne-Laurence,Petel,APT,1970-02-08,Saint Raphaël,France
PA793816,Mme,Mélanie,Thomin,MTH,1984-06-04,Landerneau,France
PA795868,M.,Jean-Victor,Castor,JCA,1962-04-21,Sinnamary,France
PA795184,M.,Tematai,Le Gayic,TGY,2000-10-11,Papeete,France
PA330008,M.,Xavier,Breton,XBR,1962-11-25,Darney,France
PA795350,M.,Frédéric,Valletoux,FVA,1966-08-23,Paris,France
PA783457,M.,Victor,Habert-Dassault,VHAB,1992-07-12,Paris 16,France
PA793904,M.,Aurélien,Lopez-Liguori,ALO,1993-05-17,Aix-En-Provence,France
PA793210,M.,Laurent,Panifous,LPA,1976-12-21,Foix,France
PA795794,Mme,Francesca,Pasquini,FPA,1981-12-27,Viterbo,Italie
PA794886,Mme,Sophie,Blanc,SBL,1968-02-20,Toulouse,France
PA721722,M.,Hadrien,Ghomi,HGH,1989-04-06,Nogent Sur Marne,France
PA1206,M.,Nicolas,Dupont-Aignan,NDU,1961-03-07,Paris,France
PA719874,Mme,Élodie,Jacquier-Laforge,EJA,1978-04-15,Grenoble,France
PA795844,Mme,Karen,Erodi,KER,1977-02-04,Toulouse,France
PA643143,M.,Christian,Baptiste,CBP,1962-06-18,Pointe-à-Pitre,France
PA719032,M.,Bertrand,Bouyx,BBU,1970-05-26,Juvisy-sur-Orge,France
PA794582,M.,Kévin,Pfeffer,KPF,1990-07-09,Forbach,France
PA712015,M.,Julien,Dive,JDV,1985-05-21,Saint Quentin,France
PA794994,M.,Alexandre,Portier,APO,1990-04-21,La Tronche,France
PA794214,M.,Quentin,Bataillon,QBA,1993-09-09,Feurs,France
PA793928,Mme,Edwige,Diaz,EDI,1987-10-15,Marseille,France
PA795540,M.,Daniel,Grenon,DGR,1948-07-31,Saint Fargeau,France
PA718674,Mme,Olga,Givernet,OGI,1981-10-17,Saint-Germain-En-Laye,France
PA794982,Mme,Julie,Delpech,JDE,1989-09-25,Le Mans,France
PA793314,Mme,Alexandra,Masson,AMA,1971-07-02,Paris,France
PA793744,Mme,Anne,Stambach-Terrenoir,AST,1980-06-23,Amiens,France
PA793528,Mme,Chantal,Bouloux,CBX,1961-06-23,Lamballe,France
PA795278,Mme,Béatrice,Bellamy,BBE,1966-10-20,Nantes,France
PA793656,Mme,Lisette,Pollet,LPO,1968-01-04,Romorantin-Lanthenay,France
PA720430,M.,Ugo,Bernalicis,UBE,1989-09-25,Arras,France
